policy_id,last_policy_status,last_termination_dt,time_stamp
P_02887284,active,,2018-01-31
P_00873711,active,,2018-01-31
P_04762072,cancelled,2017-11-30,2018-01-31
P_05242178,active,,2018-01-31
P_09822768,active,,2018-01-31
P_07561259,active,,2018-01-31
P_08096761,active,,2018-01-31
P_09970432,active,,2018-01-31
P_06324097,active,,2018-01-31
P_08090904,active,,2018-01-31
P_03827150,active,,2018-01-31
P_02091060,active,,2018-01-31
P_05968937,active,,2018-01-31
P_09563089,active,,2018-01-31
P_04773259,active,,2018-01-31
P_09573226,active,,2018-01-31
P_09103113,cancelled,2017-12-31,2018-01-31
P_05752374,cancelled,2017-09-30,2018-01-31
P_09261655,active,,2018-01-31
P_05799296,cancelled,2017-06-30,2018-01-31
P_05607352,active,,2018-01-31
P_06568953,active,,2018-01-31
P_05615469,active,,2018-01-31
P_05921335,active,,2018-01-31
P_07589015,active,,2018-01-31
P_08862831,active,,2018-01-31
P_08496038,active,,2018-01-31
P_05142194,cancelled,2017-11-30,2018-01-31
P_05443418,active,,2018-01-31
P_08013749,active,,2018-01-31
P_04487909,cancelled,2017-09-30,2018-01-31
P_07591286,active,,2018-01-31
P_07501258,active,,2018-01-31
P_09047911,cancelled,2017-07-31,2018-01-31
P_02567907,cancelled,2017-12-31,2018-01-31
P_06726357,active,,2018-01-31
P_09829649,active,,2018-01-31
P_07086975,active,,2018-01-31
P_00547068,active,,2018-01-31
P_06388122,active,,2018-01-31
P_05035866,active,,2018-01-31
P_08455918,active,,2018-01-31
P_06949333,active,,2018-01-31
P_09756420,cancelled,2017-02-28,2018-01-31
P_09037319,active,,2018-01-31
P_06866376,active,,2018-01-31
P_09281422,cancelled,2017-11-30,2018-01-31
P_05686431,active,,2018-01-31
P_04594506,cancelled,2017-11-30,2018-01-31
P_02770893,cancelled,2017-02-28,2018-01-31
P_01740086,active,,2018-01-31
P_06898227,active,,2018-01-31
P_06276883,active,,2018-01-31
P_07755649,active,,2018-01-31
P_01237655,cancelled,2017-06-30,2018-01-31
P_03596433,cancelled,2017-12-31,2018-01-31
P_05176602,active,,2018-01-31
P_01585853,active,,2018-01-31
P_00464297,cancelled,2017-06-30,2018-01-31
P_00199902,active,,2018-01-31
P_07457955,active,,2018-01-31
P_06645020,cancelled,2017-07-31,2018-01-31
P_06078470,active,,2018-01-31
P_07320976,active,,2018-01-31
P_07891597,active,,2018-01-31
P_07177045,active,,2018-01-31
P_09970332,cancelled,2018-01-31,2018-01-31
P_03456856,active,,2018-01-31
P_09189595,active,,2018-01-31
P_07211646,active,,2018-01-31
P_07297677,active,,2018-01-31
P_07490046,active,,2018-01-31
P_03265369,active,,2018-01-31
P_01742550,cancelled,2017-12-31,2018-01-31
P_08002535,cancelled,2017-12-31,2018-01-31
P_02392863,active,,2018-01-31
P_09737405,cancelled,2017-10-31,2018-01-31
P_03077819,active,,2018-01-31
P_06124349,cancelled,2017-03-31,2018-01-31
P_06309714,active,,2018-01-31
P_05398324,active,,2018-01-31
P_05523638,active,,2018-01-31
P_01064834,active,,2018-01-31
P_04526672,active,,2018-01-31
P_02138373,cancelled,2017-02-28,2018-01-31
P_06938376,active,,2018-01-31
P_08231846,active,,2018-01-31
P_09760201,active,,2018-01-31
P_04802444,active,,2018-01-31
P_08188780,cancelled,2017-06-30,2018-01-31
P_02433450,active,,2018-01-31
P_05372441,active,,2018-01-31
P_05228817,active,,2018-01-31
P_09471691,active,,2018-01-31
P_02821349,active,,2018-01-31
P_00154363,active,,2018-01-31
P_01710358,active,,2018-01-31
P_00304449,active,,2018-01-31
P_08568881,active,,2018-01-31
P_06253289,active,,2018-01-31
P_04346785,active,,2018-01-31
P_01824270,cancelled,2017-12-31,2018-01-31
P_02720566,active,,2018-01-31
P_05745609,active,,2018-01-31
P_05486507,active,,2018-01-31
P_08676122,active,,2018-01-31
P_00846445,cancelled,2017-11-30,2018-01-31
P_07870582,active,,2018-01-31
P_01573553,cancelled,2017-08-31,2018-01-31
P_02843754,active,,2018-01-31
P_09439245,active,,2018-01-31
P_09224935,cancelled,2017-11-30,2018-01-31
P_05827291,active,,2018-01-31
P_05300163,active,,2018-01-31
P_01131754,active,,2018-01-31
P_08534509,active,,2018-01-31
P_09782119,cancelled,2017-09-30,2018-01-31
P_09192051,active,,2018-01-31
P_00226884,cancelled,2017-08-31,2018-01-31
P_03191139,active,,2018-01-31
P_08049219,cancelled,2017-02-28,2018-01-31
P_05060210,active,,2018-01-31
P_01767630,cancelled,,2018-01-31
P_01654137,active,,2018-01-31
P_09209510,active,,2018-01-31
P_04240616,active,,2018-01-31
P_04316196,active,,2018-01-31
P_00109158,active,,2018-01-31
P_08912707,active,,2018-01-31
P_02889542,active,,2018-01-31
P_02679712,active,,2018-01-31
P_02731759,cancelled,,2018-01-31
P_03945283,active,,2018-01-31
P_07743872,active,,2018-01-31
P_04079568,active,,2018-01-31
P_07342416,active,,2018-01-31
P_07135182,active,,2018-01-31
P_07610023,active,,2018-01-31
P_04191615,active,,2018-01-31
P_06764924,active,,2018-01-31
P_09885702,active,,2018-01-31
P_02630956,active,,2018-01-31
P_06215405,active,,2018-01-31
P_07593023,active,,2018-01-31
P_05256445,active,,2018-01-31
P_09879228,active,,2018-01-31
P_09674139,active,,2018-01-31
P_00645430,active,,2018-01-31
P_06342968,active,,2018-01-31
P_03746769,cancelled,2017-07-31,2018-01-31
P_07783163,active,,2018-01-31
P_09294590,active,,2018-01-31
P_03904509,active,,2018-01-31
P_08669226,active,,2018-01-31
P_06594820,active,,2018-01-31
P_07345878,cancelled,2017-09-30,2018-01-31
P_00251147,active,,2018-01-31
P_01704305,active,,2018-01-31
P_05918548,active,,2018-01-31
P_04069664,active,,2018-01-31
P_01510055,active,,2018-01-31
P_06918830,cancelled,2018-02-28,2018-01-31
P_05792424,active,,2018-01-31
